id,name,description,caloriespercup,pictureurl
1,"Canola Oil","Cooking oil.",1962,"https://www.meijer.com/content/dam/meijer/product/0004/12/5086/75/0004125086758_1_A1C1_1200.png"
2,"Egg","Eggs are from a chicken.",211,"https://cdn.britannica.com/94/151894-050-F72A5317/Brown-eggs.jpg"
3,"Skinned Chicken Breast","Tender muscle meat on the chest of a chicken.",335,"https://www.thespruceeats.com/thmb/-iGnYRRT7v8DGQMovxQU8RkjxxM=/4680x2632/smart/filters:no_upscale()/simple-oven-fried-garlic-chicken-breasts-3058637-hero-01-5c510dd6c9e77c00014afdec.jpg"
4,"Yellow Onion","Root vegetable",115,"https://images.eatthismuch.com/site_media/img/2042_erin_m_04c4fda5-abbc-46e7-9a98-a9983e0e85c0.png"
5,"Carrots","Root vegetable",45,"https://i.pinimg.com/originals/d0/66/23/d06623d5793e3c34ce9dad3fd24487e2.jpg"
6,"White Jasmine Rice","White rice",238,"https://post.healthline.com/wp-content/uploads/2020/08/jasmine-rice-vs-white-rice-732x549-thumbnail-732x549.jpg"
7,"Ground Pepper","Spicy peppercorns ground for flavor in dishes.",272,"https://images.eatthismuch.com/site_media/img/5818_erin_m_57526fdb-e31f-4958-a4dd-35e21b7d8ef5.png"
8,"Garlic","Mild spicy vegetable used for to flavor dishes.",203,"https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.jessicagavin.com%2Fbenefits-of-garlic%2F&psig=AOvVaw3hVYPN4h7aTzRA6Xz_U844&ust=1615387400587000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCOi985O5o-8CFQAAAAAdAAAAABAD"
9,"Salted Butter","Made from cows milk.",1627,"https://i0.wp.com/cdn-prod.medicalnewstoday.com/content/images/articles/321/321990/close-up-of-block-of-butter-being-sliced-may-raise-cholesterol.jpg?w=1155&h=1541"
10,"Scallions","Spicy onion",32,"https://cleangreensimple.com/wp-content/uploads/2019/07/how-to-cut-scallions-feature.jpg"
11,"Soy Sauce","Salty liquid made from soy beans.",135,"https://i5.walmartimages.com/asr/184abfd7-6812-4526-bb62-dafa9d6c6400_1.0afb191ea9e58acfd08ca9300ff07029.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff"
12,"Sesame Seed Oil","Sesame oils from raw seeds are light in color and have a delicate, neutral flavor.",1927,"https://www.lgbotanicals.com/assets/images/Sesame-Seed-Oil-736.jpg"
13,"Salt","The spice of life.",0,"https://www.theladders.com/wp-content/uploads/salt-2-191031-800x450.jpg"
